date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:16:05	20649/20649	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20Oct%202019%2012:16:04%20GMT	https://www.warpedcigars.com/	D:/Desktop/Dela%20Divine/www.warpedcigars.com/index.html	(from )
12:16:05	45/45	---M--	200	added ('OK')	text/plain	etag:%222d-5945391661e36%22	https://www.warpedcigars.com/robots.txt		(from )
12:16:06	250/250	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Oct%202019%2012:16:05%20GMT	https://warpedcigars.com/img/share.jpg	D:/Desktop/Dela%20Divine/warpedcigars.com/img/share.0.delayed	(from https://www.warpedcigars.com/)
12:16:07	233/233	---M-Z	302	error ('Found')	text/html	date:Wed,%2016%20Oct%202019%2012:16:06%20GMT	http://www.warpedcigars.com/apple-touch-icon.png	D:/Desktop/Dela%20Divine/www.warpedcigars.com/apple-touch-icon.2.delayed	(from https://www.warpedcigars.com/)
12:16:08	394178/394178	---M--	200	added ('OK')	image/jpeg	etag:%22603c2-58c257e03a1a5%22	https://www.warpedcigars.com/img/share.jpg	D:/Desktop/Dela%20Divine/www.warpedcigars.com/img/share.jpg	(from https://www.warpedcigars.com/)
12:16:08	3112/3112	---M--	200	added ('OK')	image/png	etag:%22c28-58c146c6752db%22	https://www.warpedcigars.com/apple-touch-icon.png	D:/Desktop/Dela%20Divine/www.warpedcigars.com/apple-touch-icon.png	(from https://www.warpedcigars.com/)
12:16:10	230/230	---M-Z	302	error ('Found')	text/html	date:Wed,%2016%20Oct%202019%2012:16:08%20GMT	http://www.warpedcigars.com/favicon-32x32.png	D:/Desktop/Dela%20Divine/www.warpedcigars.com/favicon-32x32.png	(from https://www.warpedcigars.com/)
12:16:11	998/998	---M--	200	added ('OK')	image/png	etag:%223e6-58c146c736890%22	https://www.warpedcigars.com/favicon-32x32.png	D:/Desktop/Dela%20Divine/www.warpedcigars.com/favicon-32x32.png	(from https://www.warpedcigars.com/)
12:16:11	230/230	---M-Z	302	error ('Found')	text/html	date:Wed,%2016%20Oct%202019%2012:16:10%20GMT	http://www.warpedcigars.com/favicon-16x16.png	D:/Desktop/Dela%20Divine/www.warpedcigars.com/favicon-16x16.6.delayed	(from https://www.warpedcigars.com/)
12:16:11	611/611	---M--	200	added ('OK')	image/png	etag:%22263-58c146c6ed4b4%22	https://www.warpedcigars.com/favicon-16x16.png	D:/Desktop/Dela%20Divine/www.warpedcigars.com/favicon-16x16.png	(from https://www.warpedcigars.com/)
12:16:12	229/229	---M-Z	302	error ('Found')	text/html	date:Wed,%2016%20Oct%202019%2012:16:11%20GMT	http://www.warpedcigars.com/site.webmanifest	D:/Desktop/Dela%20Divine/www.warpedcigars.com/site.webmanifest	(from https://www.warpedcigars.com/)
12:16:12	445/445	---M--	200	added ('OK')	text/plain	etag:%221bd-58c146c9ab6e9%22	https://www.warpedcigars.com/site.webmanifest	D:/Desktop/Dela%20Divine/www.warpedcigars.com/site.webmanifest	(from https://www.warpedcigars.com/)
12:16:12	234/234	---M-Z	302	error ('Found')	text/html	date:Wed,%2016%20Oct%202019%2012:16:12%20GMT	http://www.warpedcigars.com/safari-pinned-tab.svg	D:/Desktop/Dela%20Divine/www.warpedcigars.com/safari-pinned-tab.svg	(from https://www.warpedcigars.com/)
12:16:13	2520/2520	---M--	200	added ('OK')	image/svg+xml	etag:%229d8-58c146c90f2f3%22	https://www.warpedcigars.com/safari-pinned-tab.svg	D:/Desktop/Dela%20Divine/www.warpedcigars.com/safari-pinned-tab.svg	(from https://www.warpedcigars.com/)
12:16:13	7476/7476	---M-Z	200	added ('OK')	text/css	date:Wed,%2016%20Oct%202019%2012:16:13%20GMT	https://use.typekit.net/cyz8hzw.css	D:/Desktop/Dela%20Divine/use.typekit.net/cyz8hzw.css	(from https://www.warpedcigars.com/)
12:16:13	232/232	---M-Z	302	error ('Found')	text/html	date:Wed,%2016%20Oct%202019%2012:16:13%20GMT	http://www.warpedcigars.com/css/boilerplate.css	D:/Desktop/Dela%20Divine/www.warpedcigars.com/css/boilerplate.css	(from https://www.warpedcigars.com/)
12:16:14	4201/4201	---M--	200	added ('OK')	text/css	etag:%221069-58c3db5e5d659%22	https://www.warpedcigars.com/css/boilerplate.css	D:/Desktop/Dela%20Divine/www.warpedcigars.com/css/boilerplate.css	(from https://www.warpedcigars.com/)
12:16:14	235/235	---M-Z	302	error ('Found')	text/html	date:Wed,%2016%20Oct%202019%2012:16:13%20GMT	http://www.warpedcigars.com/css/global.css?7710897	D:/Desktop/Dela%20Divine/www.warpedcigars.com/css/globalf913.css	(from https://www.warpedcigars.com/)
12:16:14	228/228	---M-Z	302	error ('Found')	text/html	date:Wed,%2016%20Oct%202019%2012:16:14%20GMT	http://www.warpedcigars.com/css/home.css?v1	D:/Desktop/Dela%20Divine/www.warpedcigars.com/css/home6654.css	(from https://www.warpedcigars.com/)
12:16:15	40211/40211	---M--	200	added ('OK')	text/css	etag:%229d13-59456084fb32c%22	https://www.warpedcigars.com/css/global.css?7710897	D:/Desktop/Dela%20Divine/www.warpedcigars.com/css/globalf913.css	(from https://www.warpedcigars.com/)
